prompt_id,category,technique,downstream_model,optimizer_model,live,orig_tokens,opt_tokens,tokens_saved,token_reduction_pct,optimizer_overhead_tokens,energy_wh_before,energy_wh_after,energy_wh_optimizer,energy_saved_wh,energy_reduction_pct,cost_usd_before,cost_usd_after,cost_saved_usd,gco2e_saved,quality_score
email_followup,short,rule_based,gpt-4o,gpt-4o-mini,False,23,17,6,26.087,0,0.17095382541287496,0.1706707111560499,0.0,0.0002831142568250622,0.166,0.0045575,0.0045425,1.5000000000000256e-05,0.00011324570273002488,0.979
email_followup,short,llm_rewrite,gpt-4o,gpt-4o-mini,False,23,14,9,39.13,85,0.17095382541287496,0.17052915402763735,0.0017269969666329626,0.00042467138523760717,0.248,0.0045575,0.004535,2.249999999999995e-05,0.0001698685540950512,0.967
email_followup,short,agentic,gpt-4o,gpt-4o-mini,False,23,14,9,39.13,229,0.17095382541287496,0.17052915402763735,0.004407145264577013,0.00042467138523760717,0.248,0.0045575,0.004535,2.249999999999995e-05,0.0001698685540950512,0.967
email_followup,short,baseline,gpt-4o-mini,gpt-4o-mini,False,23,23,0,0.0,0,0.034190765082574986,0.034190765082574986,0.0,0.0,0.0,0.00027345,0.00027345,0.0,0.0,1.0
email_followup,short,rule_based,gpt-4o-mini,gpt-4o-mini,False,23,17,6,26.087,0,0.034190765082574986,0.034134142231209974,0.0,5.662285136501244e-05,0.166,0.00027345,0.00027255000000000004,8.999999999999677e-07,2.2649140546004976e-05,0.979
email_followup,short,llm_rewrite,gpt-4o-mini,gpt-4o-mini,False,23,14,9,39.13,85,0.034190765082574986,0.03410583080552747,0.0017269969666329626,8.493427704751866e-05,0.248,0.00027345,0.0002721,1.3500000000000057e-06,3.397371081900746e-05,0.967
email_followup,short,agentic,gpt-4o-mini,gpt-4o-mini,False,23,14,9,39.13,229,0.034190765082574986,0.03410583080552747,0.004407145264577013,8.493427704751866e-05,0.248,0.00027345,0.0002721,1.3500000000000057e-06,3.397371081900746e-05,0.967
email_followup,short,baseline,gpt-4.1-mini,gpt-4o-mini,False,23,23,0,0.0,0,0.04273845635321874,0.04273845635321874,0.0,0.0,0.0,0.0007292,0.0007292,0.0,0.0,1.0
email_followup,short,rule_based,gpt-4.1-mini,gpt-4o-mini,False,23,17,6,26.087,0,0.04273845635321874,0.042667677789012474,0.0,7.077856420626555e-05,0.166,0.0007292,0.0007268,2.4000000000000583e-06,2.831142568250622e-05,0.979
email_followup,short,llm_rewrite,gpt-4.1-mini,gpt-4o-mini,False,23,14,9,39.13,85,0.04273845635321874,0.04263228850690934,0.0017269969666329626,0.00010616784630940179,0.248,0.0007292,0.0007256000000000001,3.599999999999979e-06,4.24671385237628e-05,0.967
email_followup,short,agentic,gpt-4.1-mini,gpt-4o-mini,False,23,14,9,39.13,229,0.04273845635321874,0.04263228850690934,0.004407145264577013,0.00010616784630940179,0.248,0.0007292,0.0007256000000000001,3.599999999999979e-06,4.24671385237628e-05,0.967
email_followup,short,baseline,gpt-3.5-turbo,gpt-4o-mini,False,23,23,0,0.0,0,0.08547691270643748,0.08547691270643748,0.0,0.0,0.0,0.0006865,0.0006865,0.0,0.0,1.0
email_followup,short,rule_based,gpt-3.5-turbo,gpt-4o-mini,False,23,17,6,26.087,0,0.08547691270643748,0.08533535557802495,0.0,0.0001415571284125311,0.166,0.0006865,0.0006835,3.000000000000073e-06,5.662285136501244e-05,0.979
email_followup,short,llm_rewrite,gpt-3.5-turbo,gpt-4o-mini,False,23,14,9,39.13,85,0.08547691270643748,0.08526457701381868,0.0017269969666329626,0.00021233569261880358,0.248,0.0006865,0.000682,4.500000000000055e-06,8.49342770475256e-05,0.967
email_followup,short,agentic,gpt-3.5-turbo,gpt-4o-mini,False,23,14,9,39.13,229,0.08547691270643748,0.08526457701381868,0.004407145264577013,0.00021233569261880358,0.248,0.0006865,0.000682,4.500000000000055e-06,8.49342770475256e-05,0.967
summary_req,short,baseline,gpt-4o,gpt-4o-mini,False,19,19,0,0.0,0,0.1707650825749916,0.1707650825749916,0.0,0.0,0.0,0.0045475,0.0045475,0.0,0.0,1.0
summary_req,short,rule_based,gpt-4o,gpt-4o-mini,False,19,14,5,26.316,0,0.1707650825749916,0.17052915402763735,0.0,0.00023592854735424162,0.138,0.0045475,0.004535,1.2500000000000358e-05,9.437141894171053e-05,0.987
summary_req,short,llm_rewrite,gpt-4o,gpt-4o-mini,False,19,12,7,36.842,79,0.1707650825749916,0.17043478260869566,0.0015382541287495789,0.0003302999662959383,0.193,0.0045475,0.00453,1.7500000000000154e-05,0.00013211998651838086,0.968
summary_req,short,agentic,gpt-4o,gpt-4o-mini,False,19,12,7,36.842,217,0.1707650825749916,0.17043478260869566,0.004161779575328615,0.0003302999662959383,0.193,0.0045475,0.00453,1.7500000000000154e-05,0.00013211998651838086,0.968
summary_req,short,baseline,gpt-4o-mini,gpt-4o-mini,False,19,19,0,0.0,0,0.034153016514998316,0.034153016514998316,0.0,0.0,0.0,0.00027285000000000005,0.00027285000000000005,0.0,0.0,1.0
summary_req,short,rule_based,gpt-4o-mini,gpt-4o-mini,False,19,14,5,26.316,0,0.034153016514998316,0.03410583080552747,0.0,4.7185709470848325e-05,0.138,0.00027285000000000005,0.0002721,7.500000000000453e-07,1.8874283788338636e-05,0.987
summary_req,short,llm_rewrite,gpt-4o-mini,gpt-4o-mini,False,19,12,7,36.842,79,0.034153016514998316,0.034086956521739126,0.0015382541287495789,6.605999325919043e-05,0.193,0.00027285000000000005,0.0002718,1.0500000000000526e-06,2.6423997303674784e-05,0.968
summary_req,short,agentic,gpt-4o-mini,gpt-4o-mini,False,19,12,7,36.842,217,0.034153016514998316,0.034086956521739126,0.004161779575328615,6.605999325919043e-05,0.193,0.00027285000000000005,0.0002718,1.0500000000000526e-06,2.6423997303674784e-05,0.968
summary_req,short,baseline,gpt-4.1-mini,gpt-4o-mini,False,19,19,0,0.0,0,0.0426912706437479,0.0426912706437479,0.0,0.0,0.0,0.0007276,0.0007276,0.0,0.0,1.0
summary_req,short,rule_based,gpt-4.1-mini,gpt-4o-mini,False,19,14,5,26.316,0,0.0426912706437479,0.04263228850690934,0.0,5.8982136838560406e-05,0.138,0.0007276,0.0007256000000000001,1.99999999999994e-06,2.3592854735427632e-05,0.987
summary_req,short,llm_rewrite,gpt-4.1-mini,gpt-4o-mini,False,19,12,7,36.842,79,0.0426912706437479,0.042608695652173914,0.0015382541287495789,8.257499157398457e-05,0.193,0.0007276,0.0007247999999999999,2.800000000000068e-06,3.3029996629595215e-05,0.968
summary_req,short,agentic,gpt-4.1-mini,gpt-4o-mini,False,19,12,7,36.842,217,0.0426912706437479,0.042608695652173914,0.004161779575328615,8.257499157398457e-05,0.193,0.0007276,0.0007247999999999999,2.800000000000068e-06,3.3029996629595215e-05,0.968
summary_req,short,baseline,gpt-3.5-turbo,gpt-4o-mini,False,19,19,0,0.0,0,0.0853825412874958,0.0853825412874958,0.0,0.0,0.0,0.0006845,0.0006845,0.0,0.0,1.0
summary_req,short,rule_based,gpt-3.5-turbo,gpt-4o-mini,False,19,14,5,26.316,0,0.0853825412874958,0.08526457701381868,0.0,0.00011796427367712081,0.138,0.0006845,0.000682,2.5000000000000066e-06,4.7185709470855264e-05,0.987
summary_req,short,llm_rewrite,gpt-3.5-turbo,gpt-4o-mini,False,19,12,7,36.842,79,0.0853825412874958,0.08521739130434783,0.0015382541287495789,0.00016514998314796914,0.193,0.0006845,0.000681,3.500000000000031e-06,6.605999325919043e-05,0.968
summary_req,short,agentic,gpt-3.5-turbo,gpt-4o-mini,False,19,12,7,36.842,217,0.0853825412874958,0.08521739130434783,0.004161779575328615,0.00016514998314796914,0.193,0.0006845,0.000681,3.500000000000031e-06,6.605999325919043e-05,0.968
